*******************MIL CNN*********************
Size of training dataset 1776
Size of Validation dataset 445
Size of testing dataset 585
No. of Epochs: 800
 Batch size: 1
 Learning_rate : 0.01
 Patch size 512*512
 Step 1776
Epoch	BatchTime	AverageBatchTime	Loss	AverageLoss	Accuracy	AverageAccuracy
[1][138/1776]	1.922579	 1.981633	1.387855768	1.457731484	0.000000000	0.489208633	
[1][139/1776]	6.178380	 2.011610	1.533584833	1.458273294	0.000000000	0.485714286	
[1][140/1776]	5.169915	 2.034009	1.424178720	1.458031488	0.000000000	0.482269504	
[1][141/1776]	0.561996	 2.023643	1.396360874	1.457597188	0.000000000	0.478873239	
[1][142/1776]	1.897861	 2.022763	1.385028243	1.457089713	1.000000000	0.482517483	
[1][143/1776]	0.994789	 2.015624	1.379537821	1.456551158	1.000000000	0.486111111	
[1][144/1776]	2.578474	 2.019506	1.376399279	1.455998387	1.000000000	0.489655172	
[1][145/1776]	1.601535	 2.016643	1.375637293	1.455447968	1.000000000	0.493150685	
[1][146/1776]	0.863356	 2.008798	1.393697262	1.455027895	0.000000000	0.489795918	
[1][147/1776]	0.663130	 1.999705	1.399799109	1.454654728	0.000000000	0.486486486	
[1][148/1776]	2.629688	 2.003933	1.404633045	1.454319012	0.000000000	0.483221477	
[1][149/1776]	3.452829	 2.013593	1.409353971	1.454019245	0.000000000	0.480000000	
[1][150/1776]	0.694085	 2.004854	1.378285170	1.453517695	1.000000000	0.483443709	
[1][151/1776]	4.812212	 2.023324	1.393044472	1.453119845	0.000000000	0.480263158	
[1][152/1776]	2.034160	 2.023395	1.382932663	1.452661105	1.000000000	0.483660131	
[1][153/1776]	4.556663	 2.039844	1.383352876	1.452211051	1.000000000	0.487012987	
[1][154/1776]	0.793054	 2.031801	1.392863750	1.451828166	0.000000000	0.483870968	
[1][155/1776]	2.228453	 2.033061	1.377846718	1.451353926	1.000000000	0.487179487	
[1][156/1776]	0.669129	 2.024374	1.395811558	1.451000152	0.000000000	0.484076433	
[1][157/1776]	2.896974	 2.029896	1.384567499	1.450579693	1.000000000	0.487341772	
[1][158/1776]	2.124472	 2.030491	1.375586629	1.450108038	1.000000000	0.490566038	
[1][159/1776]	1.155540	 2.025023	1.396362424	1.449772128	0.000000000	0.487500000	
[1][160/1776]	4.807370	 2.042305	1.379169941	1.449333605	1.000000000	0.490683230	
[1][161/1776]	0.982760	 2.035764	1.380240917	1.448907107	1.000000000	0.493827160	
[1][162/1776]	4.933149	 2.053539	1.385329962	1.448517063	1.000000000	0.496932515	
[1][163/1776]	1.592736	 2.050730	1.391302705	1.448168195	0.000000000	0.493902439	
[1][164/1776]	2.843502	 2.055534	1.398243308	1.447865620	0.000000000	0.490909091	
[1][165/1776]	4.003775	 2.067271	1.393305540	1.447536945	0.000000000	0.487951807	
[1][166/1776]	0.685165	 2.058995	1.384232640	1.447157877	1.000000000	0.491017964	
[1][167/1776]	1.543005	 2.055923	1.387102604	1.446800405	0.000000000	0.488095238	
[1][168/1776]	0.589462	 2.047246	1.387901187	1.446451889	0.000000000	0.485207101	
[1][169/1776]	0.706365	 2.039359	1.379897118	1.446060391	1.000000000	0.488235294	
[1][170/1776]	0.971254	 2.033112	1.387426019	1.445717500	0.000000000	0.485380117	
[1][171/1776]	1.658016	 2.030931	1.386291504	1.445372000	0.000000000	0.482558140	
[1][172/1776]	0.987014	 2.024897	1.396712780	1.445090732	0.000000000	0.479768786	
[1][173/1776]	0.770107	 2.017686	1.392052293	1.444785914	0.000000000	0.477011494	
[1][174/1776]	3.039969	 2.023527	1.377504587	1.444401449	1.000000000	0.480000000	
[1][175/1776]	2.217343	 2.024629	1.394222975	1.444116344	0.000000000	0.477272727	
[1][176/1776]	1.087254	 2.019333	1.381902695	1.443764855	1.000000000	0.480225989	
[1][177/1776]	1.358878	 2.015622	1.387949705	1.443451286	0.000000000	0.477528090	
[1][178/1776]	0.955510	 2.009700	1.380760431	1.443101058	1.000000000	0.480446927	
[1][179/1776]	3.139641	 2.015977	1.385646462	1.442781866	1.000000000	0.483333333	
[1][180/1776]	3.552696	 2.024468	1.381254673	1.442441937	1.000000000	0.486187845	
[1][181/1776]	3.611339	 2.033187	1.384615183	1.442124207	1.000000000	0.489010989	
[1][182/1776]	1.762523	 2.031708	1.384044290	1.441806831	1.000000000	0.491803279	
[1][183/1776]	0.880617	 2.025452	1.387646914	1.441512483	0.000000000	0.489130435	
[1][184/1776]	1.259782	 2.021313	1.392624617	1.441248225	0.000000000	0.486486486	
[1][185/1776]	0.682050	 2.014113	1.381085038	1.440924767	1.000000000	0.489247312	
[1][186/1776]	0.723090	 2.007209	1.617275715	1.441867820	0.000000000	0.486631016	
[1][187/1776]	3.021016	 2.012601	1.383677006	1.441558294	1.000000000	0.489361702	
[1][188/1776]	1.265440	 2.008648	1.391314030	1.441292451	0.000000000	0.486772487	
[1][189/1776]	3.654375	 2.017310	1.385386229	1.440998208	1.000000000	0.489473684	
[1][190/1776]	1.325168	 2.013686	1.392625332	1.440744947	0.000000000	0.486910995	
[1][191/1776]	0.828268	 2.007512	1.383553028	1.440447072	1.000000000	0.489583333	
[1][192/1776]	1.105058	 2.002836	1.385940671	1.440164656	1.000000000	0.492227979	
[1][193/1776]	1.469583	 2.000087	1.386566639	1.439888377	0.000000000	0.489690722	
[1][194/1776]	1.218124	 1.996077	1.384053826	1.439602046	1.000000000	0.492307692	
[1][195/1776]	1.133025	 1.991674	1.385891676	1.439328014	1.000000000	0.494897959	
[1][196/1776]	2.090186	 1.992174	1.389429569	1.439074722	0.000000000	0.492385787	
[1][197/1776]	2.037215	 1.992401	1.383607745	1.438794586	1.000000000	0.494949495	
[1][198/1776]	1.780463	 1.991336	1.388571620	1.438542209	0.000000000	0.492462312	
[1][199/1776]	4.876508	 2.005762	1.387641191	1.438287704	0.000000000	0.490000000	
[1][200/1776]	3.826046	 2.014818	1.384540915	1.438020307	1.000000000	0.492537313	
[1][201/1776]	3.959341	 2.024445	1.385697961	1.437761286	0.000000000	0.490099010	
[1][202/1776]	0.723201	 2.018035	1.383720160	1.437495073	1.000000000	0.492610837	
[1][203/1776]	0.693768	 2.011543	1.384200692	1.437233826	1.000000000	0.495098039	
[1][204/1776]	1.962247	 2.011303	1.385814190	1.436982999	0.000000000	0.492682927	
[1][205/1776]	2.823541	 2.015246	1.386607885	1.436738460	1.000000000	0.495145631	
[1][206/1776]	2.582058	 2.017984	1.381798267	1.436473048	1.000000000	0.497584541	
[1][207/1776]	1.660589	 2.016266	1.386404514	1.436232334	0.000000000	0.495192308	
[1][208/1776]	1.131629	 2.012033	1.387203455	1.435997746	0.000000000	0.492822967	
[1][209/1776]	1.790412	 2.010978	1.389874697	1.435778112	0.000000000	0.490476190	
[1][210/1776]	0.850205	 2.005476	1.386331558	1.435543768	0.000000000	0.488151659	
[1][211/1776]	0.948715	 2.000492	1.383626342	1.435298875	1.000000000	0.490566038	
[1][212/1776]	1.151120	 1.996504	1.383771658	1.435056963	1.000000000	0.492957746	
[1][213/1776]	0.639560	 1.990163	1.387229204	1.434833469	0.000000000	0.490654206	
[1][214/1776]	1.406360	 1.987448	1.387995005	1.434615616	0.000000000	0.488372093	
[1][215/1776]	0.850447	 1.982184	1.392773032	1.434421900	0.000000000	0.486111111	
[1][216/1776]	0.987877	 1.977602	1.389327765	1.434214093	0.000000000	0.483870968	
[1][217/1776]	0.970384	 1.972981	1.385566950	1.433990941	1.000000000	0.486238532	
[1][218/1776]	0.648057	 1.966932	1.388366699	1.433782611	0.000000000	0.484018265	
[1][219/1776]	3.904602	 1.975739	1.389235258	1.433580123	0.000000000	0.481818182	
[1][220/1776]	6.068243	 1.994257	1.384455919	1.433357842	1.000000000	0.484162896	
[1][221/1776]	2.488013	 1.996481	1.388694525	1.433156655	0.000000000	0.481981982	
[1][222/1776]	3.185554	 2.001814	1.384656668	1.432939167	0.000000000	0.479820628	
[1][223/1776]	1.809425	 2.000955	1.386250019	1.432730733	1.000000000	0.482142857	
[1][224/1776]	0.969791	 1.996372	1.386162281	1.432523762	1.000000000	0.484444444	
[1][225/1776]	0.589320	 1.990146	1.387316465	1.432323730	0.000000000	0.482300885	
[1][226/1776]	4.962671	 2.003241	1.385759234	1.432118600	1.000000000	0.484581498	
[1][227/1776]	2.594555	 2.005834	1.386685133	1.431919330	0.000000000	0.482456140	
[1][228/1776]	0.653709	 1.999930	1.392593980	1.431747604	0.000000000	0.480349345	
[1][229/1776]	1.065378	 1.995866	1.386149168	1.431549350	0.000000000	0.478260870	
[1][230/1776]	0.702331	 1.990267	1.387689114	1.431359479	0.000000000	0.476190476	
[1][231/1776]	2.680702	 1.993243	1.386532068	1.431166257	0.000000000	0.474137931	
[1][232/1776]	1.311745	 1.990318	1.387860894	1.430980397	0.000000000	0.472103004	
[1][233/1776]	1.564288	 1.988497	1.386493921	1.430790284	0.000000000	0.470085470	
[1][234/1776]	1.989169	 1.988500	1.385938048	1.430599423	1.000000000	0.472340426	
[1][235/1776]	0.866833	 1.983747	1.386211395	1.430411339	1.000000000	0.474576271	
[1][236/1776]	3.784772	 1.991346	1.386515379	1.430226124	0.000000000	0.472573840	
[1][237/1776]	1.013833	 1.987239	1.384917498	1.430035751	1.000000000	0.474789916	
[1][238/1776]	3.183993	 1.992247	1.383894444	1.429842691	1.000000000	0.476987448	
[1][239/1776]	2.513864	 1.994420	1.384963512	1.429655695	0.000000000	0.475000000	
[1][240/1776]	1.093962	 1.990684	1.384432673	1.429468047	1.000000000	0.477178423	
[1][241/1776]	4.795872	 2.002275	1.382470369	1.429273842	1.000000000	0.479338843	
[1][242/1776]	2.268650	 2.003372	1.387541175	1.429102103	0.000000000	0.477366255	
[1][243/1776]	2.329319	 2.004707	1.385857105	1.428924869	1.000000000	0.479508197	
[1][244/1776]	1.786662	 2.003817	1.386375904	1.428751200	0.000000000	0.477551020	
[1][245/1776]	4.263761	 2.013004	1.386275530	1.428578535	0.000000000	0.475609756	
[1][246/1776]	0.682615	 2.007618	1.384904385	1.428401716	1.000000000	0.477732794	
[1][247/1776]	2.775171	 2.010713	1.384201169	1.428223488	1.000000000	0.479838710	
[1][248/1776]	2.357968	 2.012108	1.383081436	1.428042195	1.000000000	0.481927711	
[1][249/1776]	4.390637	 2.021622	1.388634562	1.427884564	0.000000000	0.480000000	
[1][250/1776]	1.103920	 2.017965	1.384459376	1.427711555	1.000000000	0.482071713	
[1][251/1776]	0.785687	 2.013075	1.384445548	1.427539865	1.000000000	0.484126984	
[1][252/1776]	3.955707	 2.020754	1.386680603	1.427378366	1.000000000	0.486166008	
[1][253/1776]	1.713809	 2.019545	1.386103630	1.427215867	1.000000000	0.488188976	
[1][254/1776]	0.734713	 2.014507	1.380645156	1.427033237	1.000000000	0.490196078	
[1][255/1776]	1.365867	 2.011973	1.386692524	1.426875656	0.000000000	0.488281250	
[1][256/1776]	4.208225	 2.020519	1.388085127	1.426724720	0.000000000	0.486381323	
[1][257/1776]	6.518799	 2.037954	1.387710571	1.426573502	0.000000000	0.484496124	
[1][258/1776]	3.248274	 2.042627	1.388827920	1.426427766	0.000000000	0.482625483	
[1][259/1776]	3.049696	 2.046500	1.384789944	1.426267621	1.000000000	0.484615385	
[1][260/1776]	1.378406	 2.043941	1.386121750	1.426113805	1.000000000	0.486590038	
[1][261/1776]	0.991625	 2.039924	1.382585645	1.425947667	1.000000000	0.488549618	
[1][262/1776]	1.691459	 2.038599	1.385169864	1.425792619	1.000000000	0.490494297	
[1][263/1776]	1.559855	 2.036786	1.381704330	1.425625618	1.000000000	0.492424242	
