*****************PrerTrained Network Testing******************

Size of training dataset 2577
Size of Validation dataset 287
Size of testing dataset 704
No. of Epochs: 100
 Batch size: 10
 Learning_rate : 0.01
 Image size 512*512
 Step 258
Epoch: [1][80/258]	Time 4.457 (4.734)	Loss 1.2129 (1.6420)	Accuracy 0.2000 (0.3877)	
Epoch: [1][81/258]	Time 4.054 (4.725)	Loss 0.7090 (1.6306)	Accuracy 0.6000 (0.3902)	
Epoch: [1][82/258]	Time 3.967 (4.716)	Loss 1.2511 (1.6260)	Accuracy 0.3000 (0.3892)	
Epoch: [1][83/258]	Time 5.704 (4.728)	Loss 1.1456 (1.6203)	Accuracy 0.5000 (0.3905)	
Epoch: [1][84/258]	Time 4.282 (4.723)	Loss 1.1262 (1.6145)	Accuracy 0.3000 (0.3894)	
Epoch: [1][85/258]	Time 4.928 (4.725)	Loss 0.9245 (1.6065)	Accuracy 0.6000 (0.3919)	
Epoch: [1][86/258]	Time 4.544 (4.723)	Loss 0.7109 (1.5962)	Accuracy 0.8000 (0.3966)	
Epoch: [1][87/258]	Time 4.160 (4.717)	Loss 1.0731 (1.5902)	Accuracy 0.4000 (0.3966)	
Epoch: [1][88/258]	Time 4.647 (4.716)	Loss 1.2597 (1.5865)	Accuracy 0.5000 (0.3978)	
Epoch: [1][89/258]	Time 4.397 (4.712)	Loss 0.8512 (1.5783)	Accuracy 0.6000 (0.4000)	
Epoch: [1][90/258]	Time 4.075 (4.705)	Loss 1.5107 (1.5776)	Accuracy 0.2000 (0.3978)	
Epoch: [1][91/258]	Time 4.451 (4.703)	Loss 1.4319 (1.5760)	Accuracy 0.2000 (0.3957)	
Epoch: [1][92/258]	Time 4.217 (4.697)	Loss 1.1006 (1.5709)	Accuracy 0.5000 (0.3968)	
Epoch: [1][93/258]	Time 4.635 (4.697)	Loss 0.9571 (1.5644)	Accuracy 0.4000 (0.3968)	
Epoch: [1][94/258]	Time 4.058 (4.690)	Loss 1.0392 (1.5588)	Accuracy 0.1000 (0.3937)	
Epoch: [1][95/258]	Time 4.128 (4.684)	Loss 1.1254 (1.5543)	Accuracy 0.4000 (0.3937)	
Epoch: [1][96/258]	Time 4.727 (4.685)	Loss 1.0113 (1.5487)	Accuracy 0.4000 (0.3938)	
Epoch: [1][97/258]	Time 4.397 (4.682)	Loss 1.1509 (1.5447)	Accuracy 0.3000 (0.3929)	
Epoch: [1][98/258]	Time 5.381 (4.689)	Loss 1.1943 (1.5411)	Accuracy 0.3000 (0.3919)	
Epoch: [1][99/258]	Time 4.217 (4.684)	Loss 1.0679 (1.5364)	Accuracy 0.5000 (0.3930)	
Epoch: [1][100/258]	Time 4.624 (4.683)	Loss 1.0358 (1.5314)	Accuracy 0.5000 (0.3941)	
Epoch: [1][101/258]	Time 4.047 (4.677)	Loss 0.9226 (1.5255)	Accuracy 0.7000 (0.3971)	
Epoch: [1][102/258]	Time 4.406 (4.675)	Loss 1.0120 (1.5205)	Accuracy 0.5000 (0.3981)	
Epoch: [1][103/258]	Time 4.280 (4.671)	Loss 1.5677 (1.5209)	Accuracy 0.2000 (0.3962)	
Epoch: [1][104/258]	Time 5.881 (4.682)	Loss 1.5123 (1.5209)	Accuracy 0.1000 (0.3933)	
Epoch: [1][105/258]	Time 4.097 (4.677)	Loss 1.0188 (1.5161)	Accuracy 0.5000 (0.3943)	
Epoch: [1][106/258]	Time 4.768 (4.678)	Loss 1.0531 (1.5118)	Accuracy 0.4000 (0.3944)	
Epoch: [1][107/258]	Time 4.557 (4.677)	Loss 0.9051 (1.5062)	Accuracy 0.6000 (0.3963)	
Epoch: [1][108/258]	Time 4.489 (4.675)	Loss 1.2260 (1.5036)	Accuracy 0.4000 (0.3963)	
Epoch: [1][109/258]	Time 4.093 (4.670)	Loss 1.2007 (1.5009)	Accuracy 0.4000 (0.3964)	
Epoch: [1][110/258]	Time 4.793 (4.671)	Loss 1.3777 (1.4997)	Accuracy 0.3000 (0.3955)	
Epoch: [1][111/258]	Time 4.858 (4.672)	Loss 0.9032 (1.4944)	Accuracy 0.5000 (0.3964)	
Epoch: [1][112/258]	Time 3.955 (4.666)	Loss 1.1405 (1.4913)	Accuracy 0.4000 (0.3965)	
Epoch: [1][113/258]	Time 4.582 (4.665)	Loss 1.1190 (1.4880)	Accuracy 0.4000 (0.3965)	
Epoch: [1][114/258]	Time 4.526 (4.664)	Loss 0.8103 (1.4821)	Accuracy 0.8000 (0.4000)	
Epoch: [1][115/258]	Time 4.669 (4.664)	Loss 1.3225 (1.4808)	Accuracy 0.2000 (0.3983)	
Epoch: [1][116/258]	Time 4.751 (4.665)	Loss 1.1428 (1.4779)	Accuracy 0.5000 (0.3991)	
Epoch: [1][117/258]	Time 4.334 (4.662)	Loss 1.2370 (1.4758)	Accuracy 0.2000 (0.3975)	
Epoch: [1][118/258]	Time 4.089 (4.657)	Loss 1.1099 (1.4727)	Accuracy 0.3000 (0.3966)	
Epoch: [1][119/258]	Time 4.196 (4.653)	Loss 1.1421 (1.4700)	Accuracy 0.5000 (0.3975)	
Epoch: [1][120/258]	Time 4.742 (4.654)	Loss 1.2288 (1.4680)	Accuracy 0.2000 (0.3959)	
Epoch: [1][121/258]	Time 5.623 (4.662)	Loss 0.9443 (1.4637)	Accuracy 0.5000 (0.3967)	
Epoch: [1][122/258]	Time 4.364 (4.660)	Loss 1.1177 (1.4609)	Accuracy 0.4000 (0.3967)	
Epoch: [1][123/258]	Time 4.545 (4.659)	Loss 1.0756 (1.4578)	Accuracy 0.2000 (0.3952)	
Epoch: [1][124/258]	Time 5.117 (4.662)	Loss 1.2466 (1.4561)	Accuracy 0.2000 (0.3936)	
Epoch: [1][125/258]	Time 4.113 (4.658)	Loss 1.1643 (1.4538)	Accuracy 0.3000 (0.3929)	
