*****************PrerTrained Network Testing******************

Size of training dataset 2577
Size of Validation dataset 287
Size of testing dataset 704
No. of Epochs: 100
 Batch size: 5
 Learning_rate : 0.001
 Image size 512*512
 Step 516
Epoch: [1][82/516]	Time 3.486 (3.205)	Loss 1.4958 (1.1668)	Accuracy 0.2000 (0.4193)	
Epoch: [1][83/516]	Time 2.633 (3.198)	Loss 1.3000 (1.1684)	Accuracy 0.6000 (0.4214)	
Epoch: [1][84/516]	Time 2.944 (3.195)	Loss 1.4027 (1.1712)	Accuracy 0.2000 (0.4188)	
Epoch: [1][85/516]	Time 3.084 (3.194)	Loss 0.9612 (1.1687)	Accuracy 0.6000 (0.4209)	
Epoch: [1][86/516]	Time 3.651 (3.199)	Loss 0.8693 (1.1653)	Accuracy 0.4000 (0.4207)	
Epoch: [1][87/516]	Time 4.001 (3.208)	Loss 1.1016 (1.1646)	Accuracy 0.0000 (0.4159)	
Epoch: [1][88/516]	Time 2.758 (3.203)	Loss 1.2962 (1.1660)	Accuracy 0.0000 (0.4112)	
Epoch: [1][89/516]	Time 3.805 (3.210)	Loss 0.7587 (1.1615)	Accuracy 0.6000 (0.4133)	
Epoch: [1][90/516]	Time 3.240 (3.210)	Loss 0.7644 (1.1571)	Accuracy 0.6000 (0.4154)	
Epoch: [1][91/516]	Time 2.833 (3.206)	Loss 0.9715 (1.1551)	Accuracy 0.4000 (0.4152)	
Epoch: [1][92/516]	Time 3.413 (3.208)	Loss 0.6833 (1.1501)	Accuracy 0.6000 (0.4172)	
Epoch: [1][93/516]	Time 3.017 (3.206)	Loss 1.8389 (1.1574)	Accuracy 0.0000 (0.4128)	
Epoch: [1][94/516]	Time 2.682 (3.201)	Loss 0.8200 (1.1538)	Accuracy 0.6000 (0.4147)	
Epoch: [1][95/516]	Time 2.443 (3.193)	Loss 0.6381 (1.1485)	Accuracy 0.4000 (0.4146)	
Epoch: [1][96/516]	Time 3.776 (3.199)	Loss 0.8094 (1.1450)	Accuracy 0.8000 (0.4186)	
Epoch: [1][97/516]	Time 3.299 (3.200)	Loss 1.2811 (1.1464)	Accuracy 0.4000 (0.4184)	
Epoch: [1][98/516]	Time 3.035 (3.198)	Loss 0.9463 (1.1443)	Accuracy 0.6000 (0.4202)	
Epoch: [1][99/516]	Time 3.799 (3.204)	Loss 1.2743 (1.1456)	Accuracy 0.2000 (0.4180)	
Epoch: [1][100/516]	Time 3.543 (3.207)	Loss 0.6988 (1.1412)	Accuracy 0.8000 (0.4218)	
Epoch: [1][101/516]	Time 2.431 (3.200)	Loss 1.0771 (1.1406)	Accuracy 0.6000 (0.4235)	
Epoch: [1][102/516]	Time 4.141 (3.209)	Loss 0.8443 (1.1377)	Accuracy 0.4000 (0.4233)	
Epoch: [1][103/516]	Time 2.670 (3.204)	Loss 0.9093 (1.1355)	Accuracy 0.4000 (0.4231)	
Epoch: [1][104/516]	Time 3.171 (3.203)	Loss 1.3426 (1.1375)	Accuracy 0.4000 (0.4229)	
Epoch: [1][105/516]	Time 2.567 (3.197)	Loss 1.1979 (1.1380)	Accuracy 0.4000 (0.4226)	
Epoch: [1][106/516]	Time 4.011 (3.205)	Loss 0.9469 (1.1363)	Accuracy 0.4000 (0.4224)	
Epoch: [1][107/516]	Time 3.500 (3.208)	Loss 0.7243 (1.1324)	Accuracy 0.8000 (0.4259)	
Epoch: [1][108/516]	Time 2.427 (3.201)	Loss 1.1228 (1.1324)	Accuracy 0.6000 (0.4275)	
Epoch: [1][109/516]	Time 3.640 (3.205)	Loss 0.8000 (1.1293)	Accuracy 0.8000 (0.4309)	
Epoch: [1][110/516]	Time 3.002 (3.203)	Loss 1.2030 (1.1300)	Accuracy 0.2000 (0.4288)	
Epoch: [1][111/516]	Time 3.235 (3.203)	Loss 0.7360 (1.1265)	Accuracy 0.8000 (0.4321)	
Epoch: [1][112/516]	Time 3.137 (3.202)	Loss 1.3764 (1.1287)	Accuracy 0.4000 (0.4319)	
Epoch: [1][113/516]	Time 4.254 (3.212)	Loss 1.1817 (1.1292)	Accuracy 0.6000 (0.4333)	
Epoch: [1][114/516]	Time 3.442 (3.214)	Loss 0.8360 (1.1266)	Accuracy 0.2000 (0.4313)	
Epoch: [1][115/516]	Time 2.036 (3.204)	Loss 0.9326 (1.1249)	Accuracy 0.6000 (0.4328)	
Epoch: [1][116/516]	Time 3.351 (3.205)	Loss 1.1702 (1.1253)	Accuracy 0.4000 (0.4325)	
Epoch: [1][117/516]	Time 3.146 (3.204)	Loss 0.9265 (1.1236)	Accuracy 0.6000 (0.4339)	
Epoch: [1][118/516]	Time 3.639 (3.208)	Loss 1.1405 (1.1238)	Accuracy 0.2000 (0.4319)	
Epoch: [1][119/516]	Time 3.178 (3.208)	Loss 0.9547 (1.1224)	Accuracy 0.6000 (0.4333)	
Epoch: [1][120/516]	Time 3.087 (3.207)	Loss 0.8685 (1.1203)	Accuracy 0.4000 (0.4331)	
Epoch: [1][121/516]	Time 2.999 (3.205)	Loss 1.0097 (1.1194)	Accuracy 0.4000 (0.4328)	
Epoch: [1][122/516]	Time 3.131 (3.204)	Loss 1.1578 (1.1197)	Accuracy 0.2000 (0.4309)	
Epoch: [1][123/516]	Time 2.489 (3.199)	Loss 0.9550 (1.1184)	Accuracy 0.4000 (0.4306)	
Epoch: [1][124/516]	Time 3.731 (3.203)	Loss 1.1057 (1.1182)	Accuracy 0.4000 (0.4304)	
Epoch: [1][125/516]	Time 3.435 (3.205)	Loss 0.9977 (1.1173)	Accuracy 0.4000 (0.4302)	
Epoch: [1][126/516]	Time 2.315 (3.198)	Loss 1.0930 (1.1171)	Accuracy 0.4000 (0.4299)	
