Epoch(step|length),BatchTime,AvgBatchTime,Loss,AvgLoss,Accuracy,AvgAccuracy
[20][193/258],3.445,3.417,0.8263,0.9468,0.6000,0.4876
[20][194/258],3.784,3.419,0.8522,0.9463,0.5000,0.4877
[20][195/258],3.625,3.420,0.9444,0.9463,0.4000,0.4872
[20][196/258],4.115,3.424,0.7597,0.9453,0.6000,0.4878
[20][197/258],3.616,3.425,0.9179,0.9452,0.4000,0.4874
[20][198/258],3.860,3.427,0.8728,0.9448,0.4000,0.4869
[20][199/258],4.702,3.433,0.8885,0.9446,0.5000,0.4870
[20][200/258],2.625,3.429,0.8711,0.9442,0.4000,0.4866
[20][201/258],4.093,3.432,0.9027,0.9440,0.3000,0.4856
[20][202/258],4.298,3.437,0.8011,0.9433,0.6000,0.4862
[20][203/258],3.346,3.436,0.7373,0.9423,0.7000,0.4873
[20][204/258],4.698,3.442,0.8426,0.9418,0.4000,0.4868
[20][205/258],3.941,3.445,0.8262,0.9412,0.6000,0.4874
[20][206/258],3.310,3.444,0.9087,0.9411,0.7000,0.4884
[20][207/258],4.492,3.449,0.8330,0.9405,0.6000,0.4889
[20][208/258],4.265,3.453,0.7412,0.9396,0.6000,0.4895
[20][209/258],3.793,3.455,0.9247,0.9395,0.5000,0.4895
[20][210/258],4.389,3.459,0.8735,0.9392,0.3000,0.4886
[20][211/258],3.209,3.458,0.9004,0.9390,0.5000,0.4887
[20][212/258],4.379,3.462,1.0146,0.9394,0.5000,0.4887
[20][213/258],3.800,3.464,1.0189,0.9397,0.3000,0.4879
[20][214/258],4.354,3.468,0.8199,0.9392,0.8000,0.4893
[20][215/258],3.838,3.470,1.1917,0.9404,0.4000,0.4889
[20][216/258],3.234,3.469,1.1542,0.9413,0.3000,0.4880
[20][217/258],3.338,3.468,0.9986,0.9416,0.5000,0.4881
[20][218/258],4.145,3.471,0.8567,0.9412,0.9000,0.4900
[20][219/258],3.669,3.472,1.2883,0.9428,0.6000,0.4905
[20][220/258],3.374,3.472,0.8077,0.9422,0.4000,0.4900
[20][221/258],4.452,3.476,1.1457,0.9431,0.5000,0.4901
[20][222/258],4.669,3.481,0.8318,0.9426,0.5000,0.4901
[20][223/258],4.833,3.487,1.0591,0.9431,0.5000,0.4902
[20][224/258],4.091,3.490,0.9870,0.9433,0.4000,0.4898
[20][225/258],4.408,3.494,0.7986,0.9427,0.7000,0.4907
[20][226/258],3.375,3.494,1.0315,0.9431,0.6000,0.4912
[20][227/258],3.494,3.494,0.8852,0.9428,0.6000,0.4917
[20][228/258],3.510,3.494,0.8690,0.9425,0.8000,0.4930
[20][229/258],3.594,3.494,0.8659,0.9422,0.6000,0.4935
[20][230/258],4.792,3.500,1.0174,0.9425,0.5000,0.4935
[20][231/258],3.611,3.500,0.8355,0.9420,0.4000,0.4931
[20][232/258],3.652,3.501,1.1188,0.9428,0.3000,0.4923
[20][233/258],3.414,3.501,0.9316,0.9427,0.7000,0.4932
[20][234/258],4.283,3.504,1.1364,0.9436,0.4000,0.4928
[20][235/258],4.748,3.509,0.9520,0.9436,0.5000,0.4928
[20][236/258],4.365,3.513,1.1349,0.9444,0.5000,0.4928
[20][237/258],4.104,3.515,0.7971,0.9438,0.7000,0.4937
[20][238/258],4.044,3.517,0.8692,0.9435,0.4000,0.4933
[20][239/258],4.034,3.520,0.9160,0.9434,0.4000,0.4929
[20][240/258],4.482,3.524,1.1948,0.9444,0.4000,0.4925
[20][241/258],4.558,3.528,0.7949,0.9438,0.7000,0.4934
[20][242/258],4.071,3.530,1.2072,0.9449,0.5000,0.4934
[20][243/258],4.159,3.533,0.8613,0.9445,0.5000,0.4934
[20][244/258],4.661,3.537,0.9352,0.9445,0.4000,0.4931
[20][245/258],3.917,3.539,0.8870,0.9443,0.5000,0.4931
[20][246/258],2.936,3.536,1.0378,0.9446,0.3000,0.4923
[20][247/258],5.002,3.542,0.9499,0.9447,0.4000,0.4919
[20][248/258],3.259,3.541,0.8850,0.9444,0.4000,0.4916
[20][249/258],3.488,3.541,0.7589,0.9437,0.7000,0.4924
[20][250/258],3.400,3.540,0.8145,0.9432,0.7000,0.4932
[20][251/258],4.103,3.543,1.2500,0.9444,0.6000,0.4937
[20][252/258],4.274,3.546,0.8879,0.9442,0.5000,0.4937
[20][253/258],3.909,3.547,0.9366,0.9441,0.3000,0.4929
[20][254/258],3.327,3.546,0.7511,0.9434,0.8000,0.4941
[20][255/258],4.166,3.549,0.8506,0.9430,0.4000,0.4938
[20][256/258],3.961,3.550,0.8929,0.9428,0.4000,0.4934
[20][257/258],2.992,3.548,0.9100,0.9427,0.1429,0.4924
[21][0/258],3.004,3.004,1.1206,1.1206,0.4000,0.4000
[21][1/258],3.212,3.108,0.9606,1.0406,0.7000,0.5500
[21][2/258],3.599,3.271,0.9803,1.0205,0.2000,0.4333
[21][3/258],3.850,3.416,0.9023,0.9909,0.5000,0.4500
[21][4/258],3.863,3.505,0.8831,0.9694,0.6000,0.4800
[21][5/258],3.553,3.513,0.8822,0.9548,0.5000,0.4833
[21][6/258],3.390,3.496,0.9544,0.9548,0.4000,0.4714
[21][7/258],3.353,3.478,0.7724,0.9320,0.6000,0.4875
[21][8/258],2.791,3.402,0.8865,0.9269,0.6000,0.5000
[21][9/258],3.569,3.418,0.9301,0.9272,0.5000,0.5000
[21][10/258],3.466,3.423,1.0943,0.9424,0.4000,0.4909
[21][11/258],3.295,3.412,1.0548,0.9518,0.6000,0.5000
[21][12/258],3.955,3.454,0.7329,0.9350,0.9000,0.5308
[21][13/258],3.309,3.444,0.8437,0.9284,0.5000,0.5286
[21][14/258],4.755,3.531,0.8009,0.9199,0.7000,0.5400
[21][15/258],4.599,3.598,0.9875,0.9242,0.4000,0.5312
[21][16/258],3.316,3.581,1.1324,0.9364,0.4000,0.5235
[21][17/258],2.993,3.549,0.6666,0.9214,0.8000,0.5389
[21][18/258],2.982,3.519,1.1013,0.9309,0.5000,0.5368
[21][19/258],3.740,3.530,1.0440,0.9365,0.5000,0.5350
[21][20/258],4.448,3.574,0.9532,0.9373,0.4000,0.5286
[21][21/258],3.237,3.558,1.0323,0.9416,0.3000,0.5182
[21][22/258],3.047,3.536,0.9857,0.9436,0.4000,0.5130
[21][23/258],2.894,3.509,1.0053,0.9461,0.6000,0.5167
[21][24/258],4.568,3.552,1.0362,0.9497,0.6000,0.5200
[21][25/258],3.684,3.557,1.0778,0.9547,0.4000,0.5154
[21][26/258],3.996,3.573,0.8787,0.9519,0.7000,0.5222
[21][27/258],4.221,3.596,0.7864,0.9459,0.5000,0.5214
[21][28/258],3.593,3.596,1.0052,0.9480,0.4000,0.5172
[21][29/258],2.968,3.575,1.1646,0.9552,0.4000,0.5133
[21][30/258],3.146,3.561,0.8293,0.9511,0.6000,0.5161
[21][31/258],3.146,3.548,1.0481,0.9542,0.4000,0.5125
[21][32/258],4.173,3.567,0.9813,0.9550,0.5000,0.5121
[21][33/258],3.525,3.566,1.2112,0.9625,0.4000,0.5088
[21][34/258],3.454,3.563,1.0014,0.9636,0.6000,0.5114
[21][35/258],3.900,3.572,0.8564,0.9607,0.6000,0.5139
[21][36/258],3.923,3.582,1.0665,0.9635,0.2000,0.5054
[21][37/258],4.170,3.597,0.9153,0.9623,0.5000,0.5053
[21][38/258],3.390,3.592,0.9331,0.9615,0.5000,0.5051
[21][39/258],3.139,3.580,0.9801,0.9620,0.6000,0.5075
[21][40/258],3.623,3.581,0.8357,0.9589,0.6000,0.5098
[21][41/258],3.718,3.585,1.0630,0.9614,0.2000,0.5024
[21][42/258],4.212,3.599,0.8514,0.9588,0.8000,0.5093
[21][43/258],4.114,3.611,0.9317,0.9582,0.8000,0.5159
[21][44/258],4.414,3.629,0.8933,0.9568,0.4000,0.5133
[21][45/258],5.029,3.659,0.9186,0.9559,0.4000,0.5109
[21][46/258],2.997,3.645,0.8989,0.9547,0.4000,0.5085
[21][47/258],3.591,3.644,0.8379,0.9523,0.7000,0.5125
[21][48/258],2.374,3.618,1.3283,0.9600,0.1000,0.5041
[21][49/258],4.321,3.632,0.8970,0.9587,0.4000,0.5020
[21][50/258],4.035,3.640,1.0239,0.9600,0.2000,0.4961
[21][51/258],3.277,3.633,0.8077,0.9570,0.8000,0.5019
[21][52/258],4.212,3.644,0.8354,0.9547,0.6000,0.5038
[21][53/258],2.524,3.623,0.8127,0.9521,0.6000,0.5056
[21][54/258],3.227,3.616,0.7803,0.9490,0.7000,0.5091
[21][55/258],3.029,3.606,1.0832,0.9514,0.7000,0.5125
[21][56/258],4.927,3.629,0.9027,0.9505,0.5000,0.5123
[21][57/258],3.430,3.625,0.7620,0.9473,0.8000,0.5172
[21][58/258],2.943,3.614,0.8168,0.9451,0.7000,0.5203
[21][59/258],4.109,3.622,0.8857,0.9441,0.4000,0.5183
[21][60/258],2.907,3.610,0.9212,0.9437,0.4000,0.5164
[21][61/258],4.290,3.621,0.9069,0.9431,0.3000,0.5129
[21][62/258],3.292,3.616,0.7959,0.9408,0.7000,0.5159
[21][63/258],3.382,3.612,1.0955,0.9432,0.4000,0.5141
[21][64/258],3.106,3.605,0.9226,0.9429,0.4000,0.5123
[21][65/258],3.304,3.600,0.7754,0.9403,0.8000,0.5167
[21][66/258],3.853,3.604,0.8538,0.9391,0.6000,0.5179
[21][67/258],3.892,3.608,0.7584,0.9364,1.0000,0.5250
[21][68/258],3.648,3.609,0.9006,0.9359,0.5000,0.5246
[21][69/258],2.418,3.592,0.9639,0.9363,0.3000,0.5214
[21][70/258],4.045,3.598,0.8668,0.9353,0.5000,0.5211
[21][71/258],3.803,3.601,1.0119,0.9364,0.7000,0.5236
[21][72/258],4.306,3.611,1.1512,0.9393,0.3000,0.5205
[21][73/258],3.317,3.607,0.9080,0.9389,0.6000,0.5216
[21][74/258],4.155,3.614,1.1626,0.9419,0.6000,0.5227
[21][75/258],4.226,3.622,1.0775,0.9437,0.2000,0.5184
[21][76/258],3.517,3.621,0.9898,0.9443,0.5000,0.5182
[21][77/258],4.006,3.625,1.0496,0.9456,0.6000,0.5192
[21][78/258],3.949,3.630,0.9152,0.9452,0.3000,0.5165
[21][79/258],4.295,3.638,0.7904,0.9433,0.6000,0.5175
[21][80/258],3.684,3.638,0.7838,0.9413,0.7000,0.5198
[21][81/258],4.698,3.651,0.8131,0.9398,0.7000,0.5220
[21][82/258],4.428,3.661,0.7999,0.9381,0.5000,0.5217
[21][83/258],3.714,3.661,0.7044,0.9353,0.8000,0.5250
[21][84/258],3.665,3.661,0.9652,0.9356,0.3000,0.5224
[21][85/258],4.378,3.670,0.8890,0.9351,0.6000,0.5233
[21][86/258],3.611,3.669,1.0533,0.9365,0.3000,0.5207
[21][87/258],3.419,3.666,0.8203,0.9351,0.6000,0.5216
[21][88/258],3.797,3.668,1.0474,0.9364,0.3000,0.5191
[21][89/258],3.644,3.667,0.6825,0.9336,1.0000,0.5244
[21][90/258],3.844,3.669,0.7686,0.9318,0.5000,0.5242
[21][91/258],3.516,3.668,1.1520,0.9342,0.1000,0.5196
[21][92/258],4.310,3.675,1.0131,0.9350,0.3000,0.5172
[21][93/258],4.736,3.686,0.9916,0.9356,0.0000,0.5117
[21][94/258],3.867,3.688,0.9337,0.9356,0.5000,0.5116
[21][95/258],2.559,3.676,0.8444,0.9346,0.7000,0.5135
[21][96/258],4.495,3.684,0.8059,0.9333,0.5000,0.5134
[21][97/258],2.990,3.677,0.8484,0.9324,0.5000,0.5133
[21][98/258],3.334,3.674,1.1541,0.9347,0.3000,0.5111
[21][99/258],4.276,3.680,1.0069,0.9354,0.3000,0.5090
[21][100/258],3.053,3.674,0.9841,0.9359,0.4000,0.5079
[21][101/258],4.422,3.681,0.8484,0.9350,0.4000,0.5069
[21][102/258],3.921,3.683,0.8743,0.9344,0.4000,0.5058
[21][103/258],3.710,3.684,1.1325,0.9363,0.6000,0.5067
[21][104/258],4.519,3.692,0.8293,0.9353,0.5000,0.5067
[21][105/258],3.285,3.688,1.1664,0.9375,0.3000,0.5047
[21][106/258],3.976,3.690,1.0052,0.9381,0.2000,0.5019
[21][107/258],3.551,3.689,0.9397,0.9382,0.1000,0.4981
[21][108/258],3.785,3.690,0.8529,0.9374,0.4000,0.4972
[21][109/258],4.218,3.695,1.0965,0.9388,0.5000,0.4973
[21][110/258],3.357,3.692,0.7795,0.9374,0.7000,0.4991
[21][111/258],4.572,3.700,0.8770,0.9368,0.3000,0.4973
[21][112/258],2.682,3.691,1.0512,0.9379,0.4000,0.4965
[21][113/258],4.009,3.693,0.8649,0.9372,0.8000,0.4991
[21][114/258],3.801,3.694,0.9804,0.9376,0.4000,0.4983
[21][115/258],3.191,3.690,1.1189,0.9392,0.1000,0.4948
[21][116/258],3.756,3.691,0.9427,0.9392,0.8000,0.4974
[21][117/258],4.082,3.694,0.8265,0.9382,0.6000,0.4983
[21][118/258],3.578,3.693,1.0428,0.9391,0.5000,0.4983
[21][119/258],4.336,3.698,0.9354,0.9391,0.5000,0.4983
[21][120/258],3.658,3.698,0.8314,0.9382,0.6000,0.4992
[21][121/258],4.072,3.701,0.8959,0.9378,0.4000,0.4984
[21][122/258],3.862,3.702,0.8812,0.9374,0.4000,0.4976
[21][123/258],3.177,3.698,0.8551,0.9367,0.4000,0.4968
[21][124/258],2.728,3.690,1.1622,0.9385,0.3000,0.4952
[21][125/258],3.683,3.690,0.8722,0.9380,0.6000,0.4960
[21][126/258],5.441,3.704,0.8402,0.9372,0.7000,0.4976
[21][127/258],3.422,3.702,0.7841,0.9360,0.8000,0.5000
[21][128/258],4.081,3.705,0.7793,0.9348,0.5000,0.5000
[21][129/258],3.752,3.705,1.2289,0.9371,0.2000,0.4977
[21][130/258],3.799,3.706,0.6545,0.9349,0.9000,0.5008
[21][131/258],2.416,3.696,0.9687,0.9352,0.6000,0.5015
[21][132/258],3.663,3.696,0.8699,0.9347,0.5000,0.5015
[21][133/258],3.206,3.692,0.7404,0.9332,0.6000,0.5022
[21][134/258],3.598,3.692,1.3241,0.9361,0.3000,0.5007
[21][135/258],3.594,3.691,1.0970,0.9373,0.6000,0.5015
[21][136/258],4.176,3.694,0.7303,0.9358,1.0000,0.5051
[21][137/258],3.748,3.695,0.7575,0.9345,0.8000,0.5072
[21][138/258],3.997,3.697,0.9483,0.9346,0.7000,0.5086
[21][139/258],3.021,3.692,1.2681,0.9370,0.1000,0.5057
[21][140/258],3.361,3.690,0.9081,0.9368,0.4000,0.5050
[21][141/258],3.652,3.689,0.7111,0.9352,0.6000,0.5056
[21][142/258],3.625,3.689,0.9396,0.9352,0.5000,0.5056
[21][143/258],3.407,3.687,0.8762,0.9348,0.4000,0.5049
[21][144/258],4.291,3.691,0.8842,0.9345,0.5000,0.5048
[21][145/258],3.389,3.689,0.9703,0.9347,0.4000,0.5041
[21][146/258],3.153,3.686,0.8923,0.9344,0.5000,0.5041
[21][147/258],3.392,3.684,0.9839,0.9348,0.5000,0.5041
[21][148/258],3.339,3.681,1.0067,0.9352,0.5000,0.5040
[21][149/258],3.748,3.682,0.8113,0.9344,0.5000,0.5040
[21][150/258],3.841,3.683,1.0244,0.9350,0.4000,0.5033
[21][151/258],3.357,3.681,1.2050,0.9368,0.5000,0.5033
[21][152/258],2.891,3.675,1.0054,0.9372,0.5000,0.5033
[21][153/258],3.698,3.676,0.9254,0.9372,0.5000,0.5032
[21][154/258],3.551,3.675,0.8516,0.9366,0.6000,0.5039
[21][155/258],2.820,3.669,0.9540,0.9367,0.3000,0.5026
[21][156/258],4.651,3.676,0.7474,0.9355,0.7000,0.5038
[21][157/258],4.157,3.679,0.7814,0.9345,0.9000,0.5063
[21][158/258],3.197,3.676,0.8940,0.9343,0.4000,0.5057
[21][159/258],4.134,3.678,0.7445,0.9331,0.6000,0.5062
[21][160/258],4.581,3.684,0.8764,0.9327,0.5000,0.5062
[21][161/258],3.470,3.683,0.9225,0.9327,0.7000,0.5074
[21][162/258],2.971,3.678,0.7515,0.9316,0.7000,0.5086
[21][163/258],5.656,3.690,0.7525,0.9305,0.5000,0.5085
[21][164/258],3.653,3.690,0.9433,0.9306,0.4000,0.5079
[21][165/258],4.014,3.692,0.9166,0.9305,0.4000,0.5072
[21][166/258],3.993,3.694,1.1678,0.9319,0.2000,0.5054
[21][167/258],3.312,3.692,0.8496,0.9314,0.6000,0.5060
[21][168/258],2.824,3.687,1.0438,0.9321,0.4000,0.5053
[21][169/258],3.894,3.688,0.7928,0.9312,0.7000,0.5065
[21][170/258],3.350,3.686,1.1648,0.9326,0.2000,0.5047
[21][171/258],3.819,3.687,0.9355,0.9326,0.4000,0.5041
[21][172/258],4.288,3.690,0.8925,0.9324,0.3000,0.5029
[21][173/258],3.172,3.687,1.1202,0.9335,0.5000,0.5029
[21][174/258],3.088,3.684,1.0414,0.9341,0.3000,0.5017
[21][175/258],3.984,3.685,1.0533,0.9348,0.4000,0.5011
[21][176/258],3.248,3.683,0.8541,0.9343,0.2000,0.4994
[21][177/258],5.055,3.691,0.8072,0.9336,0.7000,0.5006
[21][178/258],4.330,3.694,0.7380,0.9325,0.7000,0.5017
[21][179/258],3.247,3.692,0.8727,0.9322,0.7000,0.5028
[21][180/258],3.791,3.692,0.9343,0.9322,0.7000,0.5039
[21][181/258],3.296,3.690,0.6817,0.9308,0.7000,0.5049
[21][182/258],3.752,3.690,0.8338,0.9303,0.6000,0.5055
[21][183/258],4.477,3.695,0.8233,0.9297,0.5000,0.5054
[21][184/258],3.585,3.694,0.9035,0.9296,0.5000,0.5054
[21][185/258],3.216,3.691,0.9290,0.9296,0.5000,0.5054
[21][186/258],3.462,3.690,1.2590,0.9313,0.5000,0.5053
[21][187/258],4.551,3.695,0.9264,0.9313,0.6000,0.5059
[21][188/258],3.412,3.693,0.6868,0.9300,0.8000,0.5074
[21][189/258],3.342,3.691,0.8847,0.9298,0.5000,0.5074
[21][190/258],3.288,3.689,0.9394,0.9298,0.5000,0.5073
[21][191/258],3.382,3.688,1.1036,0.9307,0.4000,0.5068
[21][192/258],4.154,3.690,0.9177,0.9306,0.5000,0.5067
[21][193/258],5.057,3.697,0.8551,0.9303,0.6000,0.5072
[21][194/258],3.505,3.696,0.9934,0.9306,0.1000,0.5051
[21][195/258],4.327,3.699,0.8122,0.9300,0.6000,0.5056
[21][196/258],3.988,3.701,0.8626,0.9296,0.6000,0.5061
[21][197/258],3.487,3.700,0.7611,0.9288,0.8000,0.5076
[21][198/258],4.282,3.703,1.0015,0.9291,0.4000,0.5070
[21][199/258],3.342,3.701,1.4630,0.9318,0.3000,0.5060
[21][200/258],3.899,3.702,0.7371,0.9308,0.6000,0.5065
[21][201/258],4.346,3.705,1.2032,0.9322,0.4000,0.5059
[21][202/258],4.072,3.707,1.2369,0.9337,0.2000,0.5044
[21][203/258],3.502,3.706,1.0718,0.9344,0.5000,0.5044
[21][204/258],3.673,3.706,0.9681,0.9345,0.3000,0.5034
[21][205/258],3.562,3.705,1.0956,0.9353,0.3000,0.5024
[21][206/258],3.211,3.703,1.0890,0.9361,0.3000,0.5014
[21][207/258],4.329,3.706,0.8393,0.9356,0.7000,0.5024
[21][208/258],4.000,3.707,1.1920,0.9368,0.3000,0.5014
[21][209/258],3.495,3.706,0.9082,0.9367,0.4000,0.5010
[21][210/258],3.453,3.705,0.8268,0.9362,0.6000,0.5014
[21][211/258],3.982,3.706,0.9563,0.9363,0.5000,0.5014
[21][212/258],3.410,3.705,0.7725,0.9355,0.4000,0.5009
[21][213/258],4.081,3.707,1.1681,0.9366,0.4000,0.5005
[21][214/258],3.899,3.707,1.0242,0.9370,0.7000,0.5014
[21][215/258],3.539,3.707,1.1037,0.9378,0.6000,0.5019
[21][216/258],4.399,3.710,0.8533,0.9374,0.8000,0.5032
[21][217/258],3.577,3.709,1.1176,0.9382,0.3000,0.5023
[21][218/258],3.406,3.708,1.1027,0.9390,0.5000,0.5023
[21][219/258],2.884,3.704,0.9291,0.9389,0.3000,0.5014
[21][220/258],4.664,3.708,0.8542,0.9385,0.5000,0.5014
[21][221/258],3.743,3.709,0.9031,0.9384,0.4000,0.5009
[21][222/258],3.479,3.708,0.9393,0.9384,0.4000,0.5004
[21][223/258],3.254,3.706,0.9754,0.9385,0.4000,0.5000
[21][224/258],3.792,3.706,0.9437,0.9386,0.3000,0.4991
[21][225/258],3.601,3.706,0.9972,0.9388,0.4000,0.4987
[21][226/258],5.284,3.712,0.8328,0.9383,0.5000,0.4987
[21][227/258],3.554,3.712,0.9051,0.9382,0.4000,0.4982
[21][228/258],3.895,3.713,0.8730,0.9379,0.5000,0.4983
[21][229/258],4.371,3.715,0.9989,0.9382,0.3000,0.4974
[21][230/258],3.712,3.715,1.0506,0.9387,0.6000,0.4978
[21][231/258],4.460,3.719,1.0400,0.9391,0.3000,0.4970
[21][232/258],3.121,3.716,0.9934,0.9393,0.5000,0.4970
[21][233/258],2.228,3.710,0.9101,0.9392,0.5000,0.4970
[21][234/258],4.697,3.714,0.9673,0.9393,0.5000,0.4970
[21][235/258],4.103,3.716,0.8378,0.9389,0.4000,0.4966
[21][236/258],3.499,3.715,1.0096,0.9392,0.3000,0.4958
[21][237/258],4.288,3.717,0.8802,0.9390,0.4000,0.4954
[21][238/258],3.705,3.717,1.0284,0.9393,0.5000,0.4954
[21][239/258],2.860,3.713,0.7137,0.9384,0.6000,0.4958
[21][240/258],3.197,3.711,0.8888,0.9382,0.5000,0.4959
[21][241/258],4.535,3.715,0.8354,0.9378,0.3000,0.4950
[21][242/258],3.316,3.713,0.8537,0.9374,0.4000,0.4947
[21][243/258],3.432,3.712,0.9995,0.9377,0.4000,0.4943
[21][244/258],4.110,3.714,0.9338,0.9377,0.6000,0.4947
[21][245/258],4.071,3.715,1.1787,0.9386,0.5000,0.4947
[21][246/258],3.619,3.715,1.0750,0.9392,0.5000,0.4947
[21][247/258],4.281,3.717,0.8414,0.9388,0.4000,0.4944
[21][248/258],4.116,3.718,0.9600,0.9389,0.5000,0.4944
[21][249/258],4.249,3.721,0.8280,0.9384,0.6000,0.4948
[21][250/258],3.797,3.721,0.8127,0.9379,0.6000,0.4952
[21][251/258],4.439,3.724,0.8976,0.9378,0.4000,0.4948
[21][252/258],4.175,3.726,0.8479,0.9374,0.6000,0.4953
[21][253/258],2.986,3.723,1.1181,0.9381,0.4000,0.4949
[21][254/258],3.887,3.723,0.9167,0.9380,0.6000,0.4953
[21][255/258],3.717,3.723,0.8183,0.9376,0.7000,0.4961
[21][256/258],2.611,3.719,1.3378,0.9391,0.2000,0.4949
[21][257/258],2.106,3.713,0.7855,0.9387,0.4286,0.4948
[22][0/258],2.372,2.372,1.1870,1.1870,0.5000,0.5000
[22][1/258],2.716,2.544,0.7861,0.9865,0.7000,0.6000
[22][2/258],2.160,2.416,1.0501,1.0077,0.4000,0.5333
[22][3/258],2.107,2.339,1.1972,1.0551,0.5000,0.5250
[22][4/258],2.827,2.436,0.9035,1.0248,0.4000,0.5000
[22][5/258],3.856,2.673,0.9960,1.0200,0.5000,0.5000
[22][6/258],2.624,2.666,0.9851,1.0150,0.3000,0.4714
[22][7/258],3.071,2.717,0.9775,1.0103,0.4000,0.4625
[22][8/258],3.015,2.750,0.9867,1.0077,0.2000,0.4333
[22][9/258],3.232,2.798,1.1372,1.0206,0.3000,0.4200
[22][10/258],3.578,2.869,0.7828,0.9990,0.4000,0.4182
[22][11/258],3.410,2.914,0.8008,0.9825,0.6000,0.4333
[22][12/258],3.049,2.924,0.7603,0.9654,0.6000,0.4462
[22][13/258],3.535,2.968,0.8209,0.9551,0.6000,0.4571
[22][14/258],3.333,2.992,1.0132,0.9590,0.5000,0.4600
[22][15/258],3.299,3.011,0.8452,0.9519,0.5000,0.4625
[22][16/258],2.973,3.009,0.9009,0.9489,0.6000,0.4706
[22][17/258],2.801,2.998,0.7183,0.9360,0.8000,0.4889
[22][18/258],2.730,2.983,0.8451,0.9313,0.4000,0.4842
[22][19/258],2.826,2.976,0.7428,0.9218,0.7000,0.4950
[22][20/258],3.373,2.995,0.8049,0.9163,0.6000,0.5000
[22][21/258],2.665,2.980,1.1342,0.9262,0.4000,0.4955
[22][22/258],3.099,2.985,0.9959,0.9292,0.4000,0.4913
[22][23/258],3.275,2.997,0.8172,0.9245,0.6000,0.4958
[22][24/258],2.696,2.985,0.9088,0.9239,0.4000,0.4920
[22][25/258],3.838,3.018,1.0460,0.9286,0.4000,0.4885
[22][26/258],3.235,3.026,0.7358,0.9215,0.6000,0.4926
[22][27/258],3.747,3.051,0.8825,0.9201,0.3000,0.4857
[22][28/258],3.500,3.067,0.9116,0.9198,0.6000,0.4897
[22][29/258],3.688,3.088,0.9438,0.9206,0.6000,0.4933
[22][30/258],4.000,3.117,0.8374,0.9179,0.6000,0.4968
[22][31/258],2.852,3.109,0.9456,0.9188,0.4000,0.4938
[22][32/258],3.203,3.112,1.1717,0.9264,0.5000,0.4939
[22][33/258],3.354,3.119,1.0073,0.9288,0.6000,0.4971
[22][34/258],2.252,3.094,1.0687,0.9328,0.4000,0.4943
[22][35/258],3.616,3.108,1.0680,0.9366,0.5000,0.4944
[22][36/258],2.640,3.096,0.7651,0.9319,0.5000,0.4946
[22][37/258],2.504,3.080,1.0080,0.9339,0.4000,0.4921
[22][38/258],4.049,3.105,0.9547,0.9345,0.3000,0.4872
[22][39/258],2.890,3.100,1.0091,0.9363,0.4000,0.4850
[22][40/258],3.589,3.112,0.8801,0.9350,0.5000,0.4854
[22][41/258],3.980,3.132,0.9360,0.9350,0.4000,0.4833
[22][42/258],3.385,3.138,0.7666,0.9311,0.7000,0.4884
[22][43/258],3.272,3.141,1.2223,0.9377,0.3000,0.4841
[22][44/258],3.764,3.155,0.9373,0.9377,0.5000,0.4844
[22][45/258],3.088,3.154,0.7325,0.9332,0.7000,0.4891
[22][46/258],3.319,3.157,0.9222,0.9330,0.5000,0.4894
[22][47/258],3.197,3.158,0.9155,0.9326,0.6000,0.4917
[22][48/258],2.716,3.149,0.8069,0.9300,0.5000,0.4918
[22][49/258],3.060,3.147,0.7977,0.9274,0.6000,0.4940
[22][50/258],4.877,3.181,0.9206,0.9273,0.5000,0.4941
[22][51/258],2.993,3.178,0.9963,0.9286,0.4000,0.4923
[22][52/258],2.527,3.165,0.9224,0.9285,0.6000,0.4943
[22][53/258],3.133,3.165,0.9766,0.9294,0.4000,0.4926
[22][54/258],4.205,3.184,0.8997,0.9288,0.3000,0.4891
[22][55/258],2.198,3.166,0.7995,0.9265,0.6000,0.4911
[22][56/258],3.601,3.174,0.7726,0.9238,0.5000,0.4912
[22][57/258],3.556,3.180,1.1907,0.9284,0.4000,0.4897
[22][58/258],3.039,3.178,0.7872,0.9260,0.3000,0.4864
[22][59/258],2.827,3.172,0.9904,0.9271,0.5000,0.4867
[22][60/258],4.074,3.187,1.0294,0.9288,0.6000,0.4885
[22][61/258],2.803,3.181,0.9605,0.9293,0.4000,0.4871
[22][62/258],2.933,3.177,1.0886,0.9318,0.3000,0.4841
[22][63/258],3.423,3.180,0.7679,0.9293,0.6000,0.4859
[22][64/258],3.286,3.182,0.8611,0.9282,0.5000,0.4862
[22][65/258],3.314,3.184,1.3120,0.9340,0.4000,0.4848
[22][66/258],2.234,3.170,0.7954,0.9320,0.6000,0.4866
[22][67/258],2.325,3.157,0.9707,0.9325,0.4000,0.4853
[22][68/258],3.359,3.160,1.0879,0.9348,0.4000,0.4841
[22][69/258],3.682,3.168,0.7597,0.9323,0.8000,0.4886
[22][70/258],3.611,3.174,0.9102,0.9320,0.2000,0.4845
[22][71/258],3.599,3.180,0.6956,0.9287,0.7000,0.4875
[22][72/258],2.958,3.177,0.9827,0.9294,0.8000,0.4918
[22][73/258],4.287,3.192,0.7970,0.9276,0.6000,0.4932
[22][74/258],3.573,3.197,1.2184,0.9315,0.2000,0.4893
