Step|length,BatchTime,BatchAvgTime,Loss,AvgLoss,Accuracy,AverageAccuracy
[14/15],4.272,9.674,1.0799,2.5351,0.286,0.425
[0/15],10.265,10.265,3.6535,3.6535,0.2,0.2
[1/15],9.515,9.89,2.2307,2.9421,0.3,0.25
[2/15],9.444,9.741,3.0237,2.9693,0.35,0.283
[3/15],9.275,9.625,2.8168,2.9312,0.4,0.312
[4/15],10.576,9.815,0.8015,2.5052,0.65,0.38
[5/15],9.447,9.754,3.937,2.7439,0.45,0.392
[6/15],8.792,9.616,2.0147,2.6397,0.4,0.393
[7/15],8.789,9.513,2.7949,2.6591,0.45,0.4
[8/15],9.078,9.465,3.4824,2.7506,0.35,0.394
[9/15],9.652,9.483,1.5809,2.6336,0.45,0.4
[10/15],9.503,9.485,2.7908,2.6479,0.4,0.4
[11/15],9.757,9.508,2.3604,2.6239,0.4,0.4
[12/15],9.337,9.495,3.6121,2.6999,0.3,0.392
[13/15],9.725,9.511,1.2906,2.5993,0.55,0.404
[14/15],2.656,9.054,1.847,2.5809,0.571,0.408
[0/15],10.45,10.45,3.0545,3.0545,0.45,0.45
[1/15],10.779,10.615,2.4279,2.7412,0.55,0.5
[2/15],9.947,10.392,2.0086,2.497,0.5,0.5
[3/15],9.905,10.27,1.956,2.3618,0.4,0.475
[4/15],10.516,10.319,3.6079,2.611,0.45,0.47
[5/15],9.929,10.254,3.9782,2.8389,0.5,0.475
[6/15],10.264,10.256,2.358,2.7702,0.35,0.457
[7/15],8.917,10.088,2.6889,2.76,0.45,0.456
[8/15],10.792,10.167,3.4593,2.8377,0.45,0.456
[9/15],11.185,10.268,1.8021,2.7342,0.65,0.475
[10/15],9.636,10.211,1.9624,2.664,0.4,0.468
[11/15],10.503,10.235,2.609,2.6594,0.5,0.471
[12/15],9.352,10.167,3.1444,2.6967,0.3,0.458
[13/15],9.398,10.112,3.7525,2.7721,0.25,0.443
[14/15],3.187,9.651,3.511,2.7902,0.286,0.439
[0/15],11.049,11.049,2.8947,2.8947,0.25,0.25
[1/15],10.66,10.854,2.268,2.5813,0.55,0.4
[2/15],8.444,10.051,2.3205,2.4944,0.3,0.367
[3/15],10.24,10.098,2.2922,2.4438,0.4,0.375
[4/15],10.379,10.154,2.4558,2.4462,0.4,0.38
[5/15],9.178,9.992,2.8384,2.5116,0.5,0.4
[6/15],9.085,9.862,2.2171,2.4695,0.45,0.407
[7/15],8.289,9.666,3.2263,2.5641,0.2,0.381
[8/15],9.176,9.611,1.8675,2.4867,0.45,0.389
[9/15],10.15,9.665,2.3352,2.4716,0.55,0.405
[10/15],8.594,9.568,4.003,2.6108,0.45,0.409
[11/15],10.465,9.642,2.456,2.5979,0.5,0.417
[12/15],7.798,9.5,2.2532,2.5714,0.55,0.427
[13/15],9.908,9.53,3.9868,2.6725,0.4,0.425
[14/15],3.538,9.13,4.7788,2.7239,0.571,0.429
[0/15],11.824,11.824,1.7469,1.7469,0.5,0.5
[1/15],12.513,12.169,2.6592,2.2031,0.35,0.425
[2/15],12.847,12.395,4.5667,2.9909,0.3,0.383
[3/15],10.922,12.027,2.9918,2.9911,0.4,0.388
[4/15],12.103,12.042,1.9136,2.7756,0.5,0.41
[5/15],12.124,12.056,2.2685,2.6911,0.4,0.408
[6/15],12.177,12.073,2.4743,2.6601,0.55,0.429
[7/15],12.598,12.139,3.2638,2.7356,0.3,0.412
[8/15],11.482,12.066,5.8675,3.0836,0.25,0.394
[9/15],11.332,11.992,1.7044,2.9457,0.6,0.415
[10/15],10.761,11.88,2.1267,2.8712,0.45,0.418
[11/15],12.606,11.941,1.8604,2.787,0.55,0.429
[12/15],10.537,11.833,3.1873,2.8178,0.25,0.415
[13/15],12.316,11.867,2.2555,2.7776,0.55,0.425
[14/15],3.386,11.302,2.9632,2.7821,0.286,0.422
[0/15],10.45,10.45,1.9502,1.9502,0.4,0.4
[1/15],9.314,9.882,2.8677,2.409,0.4,0.4
[2/15],10.576,10.113,3.9311,2.9164,0.3,0.367
[3/15],9.982,10.081,3.1073,2.9641,0.45,0.388
[4/15],9.561,9.977,3.5658,3.0844,0.45,0.4
[5/15],8.966,9.808,2.6815,3.0173,0.5,0.417
[6/15],9.936,9.827,4.9515,3.2936,0.3,0.4
[7/15],9.768,9.819,2.9566,3.2515,0.45,0.406
[8/15],9.042,9.733,2.7329,3.1938,0.35,0.4
[9/15],9.047,9.664,1.6682,3.0413,0.5,0.41
[10/15],11.177,9.802,3.0064,3.0381,0.35,0.405
[11/15],17.694,10.46,1.8108,2.9358,0.4,0.404
[12/15],12.959,10.652,3.8057,3.0027,0.25,0.392
[13/15],9.268,10.553,2.4115,2.9605,0.5,0.4
[14/15],2.721,10.031,3.3702,2.9705,0.286,0.397
[0/15],10.452,10.452,2.7724,2.7724,0.35,0.35
[1/15],10.927,10.69,2.0703,2.4213,0.5,0.425
[2/15],11.384,10.921,4.4874,3.11,0.2,0.35
[3/15],9.069,10.458,3.3948,3.1812,0.35,0.35
[4/15],9.384,10.243,2.2888,3.0027,0.5,0.38
[5/15],11.266,10.414,3.0245,3.0063,0.5,0.4
[6/15],10.509,10.427,3.8,3.1197,0.5,0.414
[7/15],10.441,10.429,3.0361,3.1093,0.35,0.406
[8/15],9.483,10.324,3.2234,3.122,0.3,0.394
[9/15],10.834,10.375,2.0223,3.012,0.4,0.395
[10/15],9.089,10.258,2.4706,2.9628,0.5,0.405
[11/15],8.784,10.135,2.3958,2.9155,0.4,0.404
[12/15],8.91,10.041,3.4753,2.9586,0.1,0.381
[13/15],9.538,10.005,2.1094,2.8979,0.6,0.396
[14/15],3.925,9.6,0.9434,2.8502,0.571,0.401
[0/15],9.753,9.753,3.0298,3.0298,0.3,0.3
[1/15],8.739,9.246,2.2156,2.6227,0.4,0.35
[2/15],9.7,9.398,3.9285,3.058,0.25,0.317
[3/15],10.028,9.555,2.5286,2.9256,0.4,0.338
[4/15],9.441,9.532,2.5865,2.8578,0.2,0.31
[5/15],9.227,9.481,2.3385,2.7713,0.55,0.35
[6/15],11.171,9.723,2.0544,2.6688,0.5,0.371
[7/15],8.582,9.58,4.6921,2.9218,0.3,0.362
[8/15],9.82,9.607,2.2998,2.8526,0.5,0.378
[9/15],9.454,9.592,2.5758,2.825,0.45,0.385
[10/15],9.345,9.569,2.0884,2.758,0.5,0.395
[11/15],8.998,9.522,3.5658,2.8253,0.25,0.383
[12/15],10.252,9.578,2.7708,2.8211,0.4,0.385
[13/15],8.996,9.536,2.7484,2.8159,0.3,0.379
[14/15],2.974,9.099,3.1262,2.8235,0.286,0.376
[0/15],9.927,9.927,2.1617,2.1617,0.45,0.45
[1/15],11.493,10.71,3.4487,2.8052,0.3,0.375
[2/15],10.418,10.613,3.9649,3.1918,0.35,0.367
[3/15],12.034,10.968,1.8431,2.8546,0.4,0.375
[4/15],10.29,10.832,3.3264,2.949,0.25,0.35
[5/15],9.532,10.616,2.7176,2.9104,0.3,0.342
[6/15],10.525,10.603,2.8359,2.8998,0.4,0.35
[7/15],11.242,10.683,1.9786,2.7846,0.5,0.369
[8/15],9.49,10.55,4.0495,2.9252,0.25,0.356
[9/15],9.107,10.406,2.6465,2.8973,0.5,0.37
[10/15],9.278,10.303,3.0095,2.9075,0.2,0.355
[11/15],10.277,10.301,2.9223,2.9087,0.5,0.367
[12/15],10.053,10.282,3.2555,2.9354,0.45,0.373
[13/15],10.703,10.312,3.4515,2.9723,0.3,0.368
[14/15],3.353,9.848,1.6162,2.9392,0.714,0.376
[0/15],10.072,10.072,2.8111,2.8111,0.4,0.4
[1/15],8.964,9.518,1.5934,2.2023,0.5,0.45
[2/15],11.041,10.026,1.8906,2.0984,0.5,0.467
[3/15],9.444,9.88,2.8933,2.2971,0.5,0.475
[4/15],8.645,9.633,3.9129,2.6203,0.3,0.44
[5/15],9.118,9.547,3.0788,2.6967,0.4,0.433
[6/15],9.084,9.481,2.8764,2.7224,0.6,0.457
[7/15],9.494,9.483,1.4209,2.5597,0.65,0.481
[8/15],9.956,9.535,2.6096,2.5652,0.2,0.45
[9/15],8.972,9.479,3.7512,2.6838,0.2,0.425
[10/15],10.856,9.604,3.4217,2.7509,0.4,0.423
[11/15],10.086,9.644,4.2955,2.8796,0.35,0.417
[12/15],9.679,9.647,3.1932,2.9037,0.4,0.415
[13/15],9.909,9.666,2.7851,2.8953,0.25,0.404
[14/15],3.776,9.273,3.4382,2.9085,0.571,0.408
[0/15],9.12,9.12,2.7,2.7,0.5,0.5
[1/15],10.961,10.04,2.0849,2.3925,0.3,0.4
[2/15],10.212,10.098,1.9683,2.2511,0.4,0.4
[3/15],9.921,10.053,3.6437,2.5992,0.45,0.412
[4/15],8.845,9.812,2.523,2.584,0.35,0.4
[5/15],9.391,9.742,3.4343,2.7257,0.35,0.392
[6/15],10.551,9.857,1.3783,2.5332,0.65,0.429
[7/15],9.45,9.806,2.5927,2.5406,0.5,0.438
[8/15],8.461,9.657,3.1532,2.6087,0.45,0.439
[9/15],9.827,9.674,2.3821,2.5861,0.6,0.455
[10/15],9.815,9.687,5.4138,2.8431,0.2,0.432
[11/15],9.66,9.684,4.6836,2.9965,0.15,0.408
[12/15],8.498,9.593,3.6178,3.0443,0.5,0.415
[13/15],8.874,9.542,2.8492,3.0304,0.3,0.407
[14/15],3.538,9.142,3.5993,3.0442,0.286,0.404
[0/15],11.521,11.521,3.8626,3.8626,0.4,0.4
[1/15],10.37,10.946,3.0071,3.4348,0.3,0.35
[2/15],10.732,10.874,3.503,3.4575,0.5,0.4
[3/15],9.707,10.582,4.2979,3.6676,0.3,0.375
[4/15],10.258,10.518,3.0532,3.5447,0.5,0.4
[5/15],11.863,10.742,2.9161,3.44,0.5,0.417
[6/15],9.836,10.612,3.4876,3.4468,0.45,0.421
[7/15],10.289,10.572,4.2866,3.5518,0.25,0.4
[8/15],10.284,10.54,2.3072,3.4135,0.4,0.4
[9/15],10.105,10.496,2.4421,3.3163,0.35,0.395
[10/15],9.003,10.361,2.8312,3.2722,0.45,0.4
[11/15],11.028,10.416,1.6389,3.1361,0.35,0.396
[12/15],8.725,10.286,1.3011,2.995,0.45,0.4
[13/15],10.669,10.313,2.8465,2.9844,0.45,0.404
[14/15],3.551,9.863,1.3375,2.9442,0.286,0.401
[0/15],10.003,10.003,5.2139,5.2139,0.3,0.3
[1/15],9.421,9.712,2.8127,4.0133,0.3,0.3
[2/15],9.689,9.704,4.244,4.0902,0.3,0.3
[3/15],10.575,9.922,2.8568,3.7818,0.45,0.338
[4/15],9.507,9.839,2.1295,3.4514,0.5,0.37
[5/15],9.357,9.759,1.1588,3.0693,0.55,0.4
[6/15],8.561,9.588,2.7618,3.0253,0.35,0.393
[7/15],9.833,9.618,3.2125,3.0487,0.4,0.394
[8/15],10.479,9.714,2.6613,3.0057,0.3,0.383
[9/15],11.08,9.85,3.9569,3.1008,0.4,0.385
[10/15],8.938,9.767,3.7748,3.1621,0.3,0.377
[11/15],8.929,9.698,3.6141,3.1998,0.5,0.388
[12/15],10.777,9.781,2.7288,3.1635,0.35,0.385
[13/15],8.793,9.71,1.6789,3.0575,0.4,0.386
[14/15],3.44,9.292,1.7165,3.0248,0.429,0.387
[0/15],16.15,16.15,3.1001,3.1001,0.3,0.3
[1/15],15.283,15.717,2.0871,2.5936,0.45,0.375
[2/15],17.285,16.24,4.0247,3.0706,0.5,0.417
[3/15],14.351,15.768,3.1518,3.0909,0.3,0.388
[4/15],14.688,15.552,2.6411,3.001,0.4,0.39
[5/15],15.817,15.596,2.0137,2.8364,0.45,0.4
[6/15],17.654,15.89,4.6428,3.0945,0.35,0.393
[7/15],13.427,15.582,3.8388,3.1875,0.45,0.4
[8/15],13.508,15.351,2.8516,3.1502,0.4,0.4
[9/15],15.453,15.362,2.9997,3.1351,0.45,0.405
[10/15],12.977,15.145,2.3708,3.0656,0.35,0.4
[11/15],13.888,15.04,2.5255,3.0206,0.3,0.392
[12/15],12.98,14.882,2.936,3.0141,0.55,0.404
[13/15],14.406,14.848,2.305,2.9635,0.45,0.407
[14/15],3.543,14.094,0.9375,2.9141,0.286,0.404
[0/15],13.899,13.899,2.0446,2.0446,0.4,0.4
[1/15],16.078,14.989,3.6682,2.8564,0.3,0.35
[2/15],17.989,15.989,3.436,3.0496,0.5,0.4
[3/15],14.985,15.738,2.907,3.0139,0.25,0.362
[4/15],15.088,15.608,3.652,3.1416,0.45,0.38
[5/15],13.465,15.251,2.4618,3.0283,0.55,0.408
[6/15],15.089,15.228,3.3294,3.0713,0.3,0.393
[7/15],12.463,14.882,4.0638,3.1953,0.5,0.406
[8/15],15.449,14.945,2.1029,3.074,0.5,0.417
[9/15],13.66,14.817,3.4925,3.1158,0.2,0.395
[10/15],12.876,14.64,2.1839,3.0311,0.6,0.414
[11/15],14.498,14.628,2.6126,2.9962,0.45,0.417
[12/15],10.018,14.274,2.5932,2.9652,0.35,0.412
[13/15],12.529,14.149,3.3833,2.9951,0.35,0.407
[14/15],4.169,13.484,2.8444,2.9914,0.286,0.404
[0/15],17.059,17.059,3.6936,3.6936,0.3,0.3
[1/15],17.384,17.222,2.4818,3.0877,0.45,0.375
[2/15],12.648,15.697,2.4692,2.8815,0.4,0.383
[3/15],14.134,15.306,3.1709,2.9539,0.2,0.338
[4/15],15.599,15.365,2.6525,2.8936,0.3,0.33
[5/15],13.719,15.09,2.6943,2.8604,0.4,0.342
[6/15],13.094,14.805,3.6835,2.978,0.35,0.343
[7/15],15.597,14.904,1.9957,2.8552,0.35,0.344
[8/15],11.919,14.573,4.1279,2.9966,0.3,0.339
[9/15],17.669,14.882,3.7677,3.0737,0.45,0.35
[10/15],15.457,14.934,1.719,2.9506,0.45,0.359
[11/15],12.208,14.707,4.669,3.0938,0.35,0.358
[12/15],13.958,14.65,3.6804,3.1389,0.25,0.35
[13/15],14.698,14.653,1.6764,3.0344,0.55,0.364
[14/15],5.203,14.023,2.66,3.0253,0.571,0.369
[0/15],6.652,6.652,3.5691,3.5691,0.4,0.4
[1/15],6.205,6.428,3.5826,3.5758,0.35,0.375
[2/15],7.483,6.78,4.415,3.8556,0.45,0.4
[3/15],6.218,6.639,3.7165,3.8208,0.45,0.412
[4/15],6.996,6.711,3.4079,3.7382,0.25,0.38
[5/15],6.414,6.661,1.5075,3.3664,0.4,0.383
[6/15],6.111,6.583,2.5094,3.244,0.4,0.386
[7/15],7.346,6.678,2.2048,3.1141,0.45,0.394
[8/15],7.778,6.8,1.5837,2.9441,0.65,0.422
[9/15],6.949,6.815,3.2467,2.9743,0.6,0.44
[10/15],6.619,6.797,1.6953,2.858,0.7,0.464
[11/15],7.474,6.854,5.1968,3.0529,0.2,0.442
[12/15],7.392,6.895,4.2624,3.146,0.35,0.435
[13/15],7.623,6.947,3.7631,3.1901,0.35,0.429
[14/15],1.96,6.615,3.7025,3.2026,0.571,0.432
[0/15],13.091,13.091,4.0242,4.0242,0.4,0.4
[1/15],9.757,11.424,5.467,4.7456,0.3,0.35
[2/15],11.815,11.555,1.8778,3.7897,0.45,0.383
[3/15],8.82,10.871,4.6235,3.9981,0.3,0.362
[4/15],13.644,11.426,2.4881,3.6961,0.45,0.38
[5/15],16.747,12.312,2.5423,3.5038,0.65,0.425
[6/15],10.883,12.108,4.2172,3.6057,0.35,0.414
[7/15],9.85,11.826,3.3241,3.5705,0.3,0.4
[8/15],9.967,11.619,2.5493,3.4571,0.4,0.4
[9/15],11.534,11.611,4.5816,3.5695,0.3,0.39
[10/15],10.557,11.515,3.8012,3.5906,0.5,0.4
[11/15],8.604,11.273,1.9563,3.4544,0.55,0.412
[12/15],9.569,11.141,2.3822,3.3719,0.35,0.408
[13/15],10.283,11.08,3.0231,3.347,0.2,0.393
[14/15],3.231,10.557,1.986,3.3138,0.286,0.39
[0/15],9.398,9.398,3.4181,3.4181,0.45,0.45
[1/15],10.022,9.71,4.0994,3.7588,0.3,0.375
[2/15],10.105,9.842,4.1086,3.8754,0.35,0.367
[3/15],10.808,10.083,2.7765,3.6006,0.55,0.412
[4/15],10.495,10.166,2.8137,3.4433,0.2,0.37
[5/15],11.639,10.411,2.0015,3.203,0.35,0.367
[6/15],8.779,10.178,3.3482,3.2237,0.35,0.364
[7/15],10.109,10.169,1.4659,3.004,0.75,0.412
[8/15],9.676,10.115,4.1408,3.1303,0.2,0.389
[9/15],9.115,10.015,2.9831,3.1156,0.35,0.385
[10/15],10.307,10.041,4.2615,3.2198,0.2,0.368
[11/15],10.324,10.065,2.1185,3.128,0.5,0.379
[12/15],8.837,9.97,4.0701,3.2005,0.5,0.388
[13/15],10.541,10.011,2.4632,3.1478,0.5,0.396
[14/15],3.674,9.589,4.5466,3.1819,0.143,0.39
[0/15],10.36,10.36,1.9916,1.9916,0.4,0.4
[1/15],10.581,10.471,3.8472,2.9194,0.25,0.325
[2/15],10.845,10.595,3.3627,3.0672,0.3,0.317
[3/15],11.81,10.899,3.7609,3.2406,0.3,0.312
[4/15],9.352,10.589,2.6207,3.1166,0.35,0.32
[5/15],9.794,10.457,4.1758,3.2932,0.4,0.333
[6/15],11.003,10.535,3.0588,3.2597,0.5,0.357
[7/15],9.092,10.355,2.1924,3.1263,0.45,0.369
[8/15],9.121,10.218,2.5746,3.065,0.45,0.378
[9/15],9.429,10.139,4.1669,3.1752,0.35,0.375
[10/15],9.476,10.078,4.4176,3.2881,0.3,0.368
[11/15],10.701,10.13,2.4418,3.2176,0.45,0.375
[12/15],8.732,10.023,2.498,3.1622,0.45,0.381
[13/15],10.42,10.051,2.766,3.1339,0.6,0.396
[14/15],2.927,9.576,4.0908,3.1573,0.286,0.394
[0/15],10.879,10.879,5.129,5.129,0.15,0.15
[1/15],11.393,11.136,2.5158,3.8224,0.3,0.225
[2/15],10.819,11.03,3.1762,3.607,0.4,0.283
[3/15],9.301,10.598,4.4781,3.8248,0.4,0.312
[4/15],11.943,10.867,2.3795,3.5357,0.45,0.34
[5/15],10.234,10.761,3.1651,3.474,0.4,0.35
[6/15],9.77,10.62,2.2989,3.3061,0.45,0.364
[7/15],10.39,10.591,3.292,3.3043,0.35,0.362
[8/15],9.41,10.46,2.8432,3.2531,0.5,0.378
[9/15],10.221,10.436,2.4435,3.1721,0.6,0.4
[10/15],10.256,10.42,3.7434,3.2241,0.25,0.386
[11/15],10.23,10.404,1.752,3.1014,0.55,0.4
[12/15],7.632,10.191,4.1864,3.1849,0.35,0.396
[13/15],9.034,10.108,2.6633,3.1476,0.4,0.396
[14/15],3.963,9.698,2.3686,3.1286,0.286,0.394
[0/15],10.605,10.605,1.2469,1.2469,0.65,0.65
[1/15],8.84,9.722,2.7972,2.0221,0.35,0.5
[2/15],9.872,9.772,4.9609,3.0017,0.15,0.383
[3/15],9.505,9.706,4.2908,3.324,0.4,0.388
[4/15],10.43,9.851,3.2019,3.2996,0.4,0.39
[5/15],9.318,9.762,1.7997,3.0496,0.55,0.417
[6/15],10.714,9.898,3.0099,3.0439,0.2,0.386
[7/15],10.014,9.912,4.2346,3.1927,0.4,0.388
[8/15],8.911,9.801,2.8276,3.1522,0.35,0.383
[9/15],10.963,9.917,2.3814,3.0751,0.45,0.39
[10/15],9.45,9.875,2.7121,3.0421,0.45,0.395
[11/15],9.758,9.865,2.6704,3.0111,0.4,0.396
[12/15],10.564,9.919,3.7982,3.0717,0.5,0.404
[13/15],10.24,9.942,2.7907,3.0516,0.4,0.404
[14/15],3.707,9.526,4.4149,3.0848,0.286,0.401
[0/15],11.694,11.694,3.148,3.148,0.5,0.5
[1/15],11.6,11.647,3.2498,3.1989,0.35,0.425
[2/15],9.31,10.868,2.1322,2.8434,0.5,0.45
[3/15],10.015,10.655,4.025,3.1388,0.45,0.45
[4/15],10.94,10.712,4.575,3.426,0.4,0.44
[5/15],10.135,10.616,4.2567,3.5644,0.15,0.392
[6/15],9.884,10.511,3.612,3.5712,0.45,0.4
[7/15],9.841,10.427,3.0105,3.5011,0.45,0.406
[8/15],10.347,10.418,2.7158,3.4139,0.4,0.406
[9/15],8.543,10.231,3.9088,3.4634,0.3,0.395
[10/15],10.527,10.258,2.6234,3.387,0.25,0.382
[11/15],9.027,10.155,3.9434,3.4334,0.4,0.383
[12/15],10.115,10.152,2.6624,3.3741,0.5,0.392
[13/15],9.081,10.076,3.4946,3.3827,0.35,0.389
[14/15],3.804,9.657,2.5821,3.3632,0.429,0.39
[0/15],10.846,10.846,2.2471,2.2471,0.35,0.35
[1/15],9.469,10.157,2.8949,2.571,0.6,0.475
[2/15],9.143,9.819,4.0568,3.0663,0.2,0.383
[3/15],9.839,9.824,2.872,3.0177,0.45,0.4
[4/15],10.768,10.013,2.8913,2.9924,0.35,0.39
[5/15],11.37,10.239,3.7586,3.1201,0.35,0.383
[6/15],9.395,10.118,3.6713,3.1989,0.35,0.379
[7/15],10.385,10.152,1.7748,3.0209,0.45,0.388
[8/15],10.475,10.188,2.1385,2.9228,0.45,0.394
[9/15],9.936,10.163,1.8555,2.8161,0.6,0.415
[10/15],9.255,10.08,4.2203,2.9437,0.45,0.418
[11/15],8.146,9.919,4.3247,3.0588,0.25,0.404
[12/15],9.29,9.871,3.2959,3.0771,0.35,0.4
[13/15],9.593,9.851,2.3612,3.0259,0.65,0.418
[14/15],3.757,9.444,5.8948,3.0959,0.286,0.415
[0/15],10.957,10.957,2.149,2.149,0.45,0.45
[1/15],10.417,10.687,2.4876,2.3183,0.35,0.4
[2/15],10.724,10.699,2.9078,2.5148,0.2,0.333
[3/15],12.402,11.125,4.0707,2.9038,0.35,0.338
[4/15],9.831,10.866,2.316,2.7862,0.5,0.37
[5/15],9.518,10.642,3.1348,2.8443,0.3,0.358
[6/15],9.315,10.452,3.152,2.8883,0.55,0.386
[7/15],9.641,10.351,3.653,2.9839,0.35,0.381
[8/15],9.462,10.252,3.4332,3.0338,0.35,0.378
[9/15],10.073,10.234,3.7498,3.1054,0.25,0.365
[10/15],9.488,10.166,4.0939,3.1953,0.35,0.364
[11/15],10.569,10.2,3.0577,3.1838,0.45,0.371
[12/15],8.976,10.106,3.0363,3.1724,0.25,0.362
[13/15],10.86,10.16,3.0781,3.1657,0.45,0.368
[14/15],3.395,9.709,2.753,3.1556,0.429,0.369
[0/15],17.609,17.609,1.7136,1.7136,0.5,0.5
[1/15],14.501,16.055,2.46,2.0868,0.4,0.45
[2/15],16.836,16.315,4.026,2.7332,0.35,0.417
[3/15],15.383,16.082,4.445,3.1612,0.2,0.362
[4/15],13.28,15.522,1.8827,2.9055,0.55,0.4
[5/15],15.769,15.563,3.9097,3.0728,0.25,0.375
[6/15],15.198,15.511,6.342,3.5399,0.2,0.35
[7/15],16.535,15.639,4.4934,3.659,0.3,0.344
[8/15],16.512,15.736,2.2345,3.5008,0.55,0.367
[9/15],18.27,15.99,1.7179,3.3225,0.3,0.36
[10/15],17.989,16.171,2.7555,3.2709,0.55,0.377
[11/15],18.807,16.391,2.2285,3.1841,0.6,0.396
[12/15],19.911,16.662,2.0881,3.0998,0.6,0.412
[13/15],16.505,16.651,2.9634,3.09,0.3,0.404
[14/15],7.502,16.041,1.4209,3.0493,0.429,0.404
