Step|length,BatchTime,BatchAvgTime,Loss,AvgLoss,Accuracy,AverageAccuracy
[6/15],8.044,9.289,1.3587,1.0628,0.3,0.5
[7/15],9.25,9.284,1.0909,1.0663,0.4,0.487
[8/15],9.882,9.351,1.1508,1.0757,0.45,0.483
[9/15],9.999,9.415,1.0272,1.0708,0.4,0.475
[10/15],10.523,9.516,1.1982,1.0824,0.45,0.473
[11/15],7.83,9.376,1.1278,1.0862,0.4,0.467
[12/15],8.685,9.322,1.0677,1.0848,0.55,0.473
[13/15],9.359,9.325,1.4017,1.1074,0.35,0.464
[14/15],3.875,8.962,1.1266,1.1079,0.571,0.467
[0/15],6.844,6.844,0.8438,0.8438,0.7,0.7
[1/15],7.101,6.972,1.0453,0.9446,0.5,0.6
[2/15],7.988,7.311,0.9389,0.9427,0.65,0.617
[3/15],7.66,7.398,1.0369,0.9662,0.5,0.588
[4/15],7.412,7.401,0.7569,0.9244,0.8,0.63
[5/15],7.592,7.433,1.0024,0.9374,0.5,0.608
[6/15],8.729,7.618,1.0297,0.9506,0.45,0.586
[7/15],7.162,7.561,1.0825,0.9671,0.4,0.562
[8/15],7.111,7.511,1.0449,0.9757,0.5,0.556
[9/15],8.114,7.571,1.2388,1.002,0.35,0.535
[10/15],7.16,7.534,1.0217,1.0038,0.5,0.532
[11/15],8.133,7.584,1.1532,1.0163,0.35,0.517
[12/15],7.632,7.588,1.0897,1.0219,0.5,0.515
[13/15],7.099,7.553,0.8426,1.0091,0.65,0.525
[14/15],2.918,7.244,1.1899,1.0135,0.429,0.523
[0/15],9.523,9.523,1.2316,1.2316,0.35,0.35
[1/15],10.049,9.786,0.8303,1.0309,0.7,0.525
[2/15],8.388,9.32,0.9119,0.9912,0.55,0.533
[3/15],8.999,9.24,1.0959,1.0174,0.55,0.537
[4/15],7.761,8.944,1.0411,1.0221,0.5,0.53
[5/15],9.303,9.004,1.0929,1.0339,0.45,0.517
[6/15],7.201,8.746,1.1044,1.044,0.4,0.5
[7/15],8.797,8.752,1.267,1.0719,0.4,0.487
[8/15],7.235,8.584,1.3333,1.1009,0.4,0.478
[9/15],7.845,8.51,1.0497,1.0958,0.5,0.48
[10/15],7.256,8.396,0.9897,1.0862,0.6,0.491
[11/15],7.922,8.357,1.2174,1.0971,0.55,0.496
